,name,price
0,SCHW,74.99
1,MSFT,406.32
2,NEP,28.93
3,RDDT,45.43
4,PFE,25.4
5,BBY,75.05
6,BAC,37.83
7,GEN,20.63
8,WHD,51.8
9,SIRI,3.02
10,LSXMA,24.31
11,TSM,138.3
12,GTX,9.83
13,AMZN,179.62
14,GOOGL,171.95
15,WMT,60.16
16,INTC,31.88
17,JNJ,146.14
18,AAPL,169.3
19,HIMS,12.5
20,JPM,193.49
21,VSH,22.63
22,RMR,23.53
23,PARA,11.91
24,ABCB,47.88
25,MRK,131.2
26,RNGR,10.25
27,HIMS,12.5
28,BW,1.04
29,PFS,15.09
30,DTC,1.88
31,TOYOF,22.68
32,PLTR,22.52
33,IMMR,7.19
34,INMD,17.14
35,T,16.75
36,PDSB,3.27
37,SOFI,7.87
38,FITB,36.9
39,GHM,28.36
40,CPNG,22.91
41,SLB,49.2
42,LUMN,1.21
43,LILA,7.61
44,MNTK,3.8
