,name,price
0,SCHW,74.89
1,MSFT,399.04
2,NEP,29.19
3,RDDT,42.45
4,BBY,75.24
5,BAC,37.91
6,GEN,20.55
7,WHD,51.73
8,TSM,136.58
9,GTX,9.88
10,AMZN,173.67
11,GOOGL,156.0
12,INTC,35.11
13,JNJ,146.82
14,AAPL,169.89
15,HIMS,12.27
16,JPM,193.37
17,VSH,22.1
18,RMR,23.11
19,PFE,25.26
20,PARA,12.18
21,ABCB,47.51
22,MRK,130.72
23,RNGR,10.25
24,PFS,15.2
25,DTC,1.88
26,TOYOF,22.5
27,ATVI,
28,PLTR,21.71
29,IMMR,7.13
30,INMD,17.02
31,T,16.58
32,PDSB,3.26
33,SOFI,7.59
34,FITB,36.82
35,GHM,27.84
36,CPNG,23.03
37,SLB,49.44
38,BW,1.0
39,LUMN,1.21
40,LILA,7.46
41,MNTK,3.79
