,name,price
0,SCHW,75.33
1,SIRI,3.05
2,AMC,3.13
3,BW,1.06
4,GTX,9.76
5,LUMN,1.29
6,PFE,27.7
7,NEP,29.58
8,IMMR,7.26
9,BAC,36.88
10,RDDT,47.7
11,GEN,19.68
12,HIMS,12.24
13,RNGR,9.94
14,HIMS,12.24
15,DTC,1.88
16,PLTR,22.55
17,PDSB,3.73
18,SOFI,6.99
19,LSXMA,24.77
20,RMR,24.17
21,PARA,13.86
22,BBY,72.44
23,PFS,15.22
24,VSH,22.59
25,WHD,51.3
26,T,16.82
27,LILA,7.97
28,INTC,30.51
29,GHM,27.73
30,MNTK,3.76
31,ABCB,48.68
32,WMT,59.71
33,CPNG,22.5
34,FITB,36.89
35,MSFT,397.84
36,TSM,136.23
37,AMZN,184.72
38,GOOGL,166.62
39,TOYOF,23.11
40,INMD,17.36
41,JPM,191.66
42,MRK,128.26
43,JNJ,149.92
44,AAPL,173.03
45,SLB,47.58
