,name,price
0,SCHW,74.99
1,MSFT,406.32
2,NEP,28.93
3,RDDT,45.43
4,PFE,25.4
5,BBY,75.05
6,BAC,37.83
7,GEN,20.63
8,WHD,51.8
9,SIRI,3.02
10,TSM,138.3
11,GTX,9.83
12,AMZN,179.62
13,GOOGL,171.95
14,WMT,60.16
15,INTC,31.88
16,JNJ,146.14
17,AAPL,169.3
18,HIMS,12.5
19,JPM,193.49
20,VSH,22.63
21,RMR,23.53
22,PARA,11.91
23,ABCB,47.88
24,MRK,131.2
25,RNGR,10.25
26,BW,1.04
27,PFS,15.09
28,DTC,1.88
29,TOYOF,22.68
30,PLTR,22.52
31,IMMR,7.19
32,INMD,17.14
33,T,16.75
34,PDSB,3.27
35,SOFI,7.87
36,FITB,36.9
37,GHM,28.36
38,CPNG,22.91
39,SLB,49.2
40,LUMN,1.21
41,LILA,7.61
42,MNTK,3.8
