,name,price
0,SCHW,63.78
1,MSFT,398.67
2,BAC,32.22
3,NEP,26.09
4,GEN,23.48
5,WHD,38.45
6,TSM,114.2
7,AMZN,155.34
8,GOOGL,146.38
9,INTC,48.15
10,JNJ,161.68
11,GTX,8.99
12,AAPL,191.56
13,JPM,170.31
14,VSH,22.31
15,RMR,25.69
16,PFE,28.28
17,PARA,13.4
18,ABCB,51.54
19,MRK,118.89
20,RNGR,9.53
21,PFS,17.02
22,DTC,3.07
23,TOYOF,20.11
24,ATVI,
25,PLTR,16.78
26,IMMR,6.79
27,INMD,22.59
28,T,16.67
29,PDSB,4.5
30,CVNA,44.92
31,SOFI,7.49
32,FITB,34.21
33,GHM,19.5
34,CPNG,14.94
35,SLB,49.64
36,LUMN,1.32
37,LILA,7.13
38,MNTK,7.41
